sqft, schoolRating, numberOfBedRooms
1458,6969,5291,85570454
4107,2100,8301,45933480
8619,3640,8637,62402190
3944,6853,8782,94910839
1229,3638,2208,43014484
2219,4669,8711,72844367
6470,2269,6526,42343208
949,1338,3975,25294709
2689,4390,6032,62016272
1710,5871,6753,78991611
5959,1752,5375,33715994
2656,3611,1786,41483872
5442,8391,5398,100159023
8428,3481,8874,61510256
3632,1354,4955,28457223
5128,5017,4978,65138227
4563,7860,1589,83409818
6654,5721,7360,79350215
2703,2325,4087,35539360
4509,2370,6818,44216248
1250,8842,5293,104310953
6296,8428,1267,88138287
7231,8976,8461,115234896
3680,2796,8993,54991302
7830,1041,6602,30299204
4255,1186,1387,16078622
1699,7705,5173,92594428
2475,4631,7714,69492459
4692,8318,8696,109320081
3080,8203,7630,104940476
1728,7380,8579,99545734
3600,3444,2272,41301365
2320,3090,3560,41610602
5014,3859,6467,58041941
8434,8320,5357,99363310
3140,5819,7428,80494879
1384,3794,6264,56741651
2484,6062,6391,79831211
7227,3056,3585,41411738
7007,3166,3565,42416022
6848,2506,1198,28730298
7121,2182,2778,30221143
8365,3498,6722,55232738
4003,1807,3002,27112171
3954,8122,5926,99033548
8861,8343,2021,89598238
6379,7310,3963,85047368
1319,1223,2732,20451448
6191,8681,4058,99040256
7978,7684,1977,82837494
5150,3081,6622,50722850
7124,1752,1392,21776236
1613,2950,6990,50471375
5681,1538,4860,30016799
6112,3555,2414,42855717
2830,2950,8315,54482064
8832,2385,7701,47033665
5489,4663,8675,72718977
3607,1655,1221,20249696
6468,7642,2694,84555872
7188,3366,7773,57043450
2572,6123,8684,87298248
2110,3781,6801,58234014
5468,2741,6446,46788756
2715,8377,3524,94361865
1176,2462,7065,45823279
6501,2219,8762,48554833
1447,3211,3250,41891979
8911,5250,1916,58340136
8369,5327,6878,73995656
3573,4864,2682,56728183
6917,7849,7616,101413052
4986,997,4225,22697210
6971,5818,5134,73658611
2475,4923,1397,53428847
7533,5487,6231,73632875
6226,5878,8142,83288071
7016,7346,2812,81981145
2693,1671,956,19604318
2387,4264,2833,51171852
6184,2820,6657,48225511
7338,6444,1995,70499586
8652,3790,4052,50140230
8848,5737,1421,61712524
3946,8071,3655,91721338
4136,3762,1825,43129584
4462,6799,7680,91070514
2797,953,5908,27284573
5135,5852,5324,74572602
3951,7302,2257,79817240
3777,2675,2598,34589123
7383,8578,3239,95567369
4616,6090,1863,66543558
1400,4235,3303,52271810
8262,5725,4352,70395572
6902,2743,8060,51675454
4723,3578,8095,60092723
3228,6912,8808,95572552
1471,8421,6306,103140655
5992,7250,8057,96726395
